Income,Recency,NumDealsPurchases,Customer_Tenure,Total_Spent,Total_Purchases,Total_Children,Previous_Campaign_Score,Education_Basic,Education_Graduation,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
58138.0,58,3,663,1617,22,0,0,False,True,False,False,True,False,False
46344.0,38,2,113,27,4,2,0,False,True,False,False,True,False,False
71613.0,26,1,312,776,20,0,0,False,True,False,False,False,True,False
26646.0,26,2,139,53,6,1,0,False,True,False,False,False,True,False
58293.0,94,5,161,422,14,1,0,False,False,True,True,False,False,False
62513.0,16,2,293,716,20,1,0,False,False,False,False,False,True,False
55635.0,34,4,593,590,17,1,0,False,True,False,False,False,False,False
33454.0,32,2,417,169,8,1,0,False,False,True,True,False,False,False
30351.0,19,1,388,46,5,1,0,False,False,True,False,False,True,False
5648.0,68,1,108,49,1,2,1,False,False,True,False,False,True,False
51381.5,11,1,226,19,3,1,0,False,True,False,True,False,False,False
7500.0,59,1,593,61,5,0,0,True,False,False,True,False,False,False
63033.0,82,1,226,1102,15,0,0,False,True,False,False,False,False,False
59354.0,53,3,226,310,12,2,0,False,False,False,False,False,False,False
17323.0,38,1,627,46,4,0,0,False,True,False,True,False,False,False
82800.0,23,1,582,1315,25,0,2,False,False,True,False,True,False,False
41850.0,51,3,552,96,6,2,0,False,True,False,True,False,False,False
37760.0,20,2,667,317,11,0,0,False,True,False,False,False,True,False
76995.0,91,2,458,1782,24,1,1,False,False,False,True,False,False,False
33812.0,86,2,603,133,6,1,0,False,False,False,False,True,False,False
37040.0,41,1,690,316,11,0,0,False,True,False,True,False,False,False
2447.0,42,15,539,1730,28,1,0,False,True,False,True,False,False,False
58607.0,63,3,553,972,14,1,1,False,False,True,True,False,False,False
65324.0,0,3,169,544,17,1,0,False,False,True,True,False,False,False
40689.0,69,7,468,444,13,1,0,False,True,False,False,False,True,False
18589.0,89,2,543,75,6,0,0,False,True,False,False,True,False,False
53359.0,4,4,398,257,10,2,0,False,True,False,True,False,False,False
51381.5,19,0,494,637,27,1,0,False,True,False,False,True,False,False
38360.0,26,2,394,131,7,1,0,False,True,False,True,False,False,False
84618.0,96,1,219,1672,25,0,1,False,False,True,True,False,False,False
10979.0,34,2,38,30,6,0,0,False,False,False,False,False,False,False
38620.0,56,1,414,318,10,0,0,False,False,False,False,False,True,False
40548.0,31,2,627,120,7,1,1,False,True,False,False,False,True,False
46610.0,8,6,608,302,11,2,0,False,False,True,False,False,False,False
68657.0,4,1,494,1196,17,0,0,False,False,False,True,False,False,False
49389.0,55,1,304,65,5,2,0,False,False,False,False,True,False,False
67353.0,37,5,180,913,23,1,0,False,False,True,True,False,False,False
23718.0,76,3,300,81,6,1,0,False,False,False,True,False,False,False
42429.0,99,2,138,67,5,1,0,False,True,False,False,False,False,True
48948.0,53,2,513,902,22,0,1,False,False,True,False,False,False,False
80011.0,3,2,426,1395,19,1,0,False,True,False,True,False,False,False
20559.0,88,2,474,53,5,1,0,False,False,False,True,False,False,False
21994.0,4,1,552,22,3,1,0,False,True,False,False,False,True,False
51381.5,80,1,236,186,8,0,0,False,False,True,False,True,False,False
7500.0,19,3,270,31,5,1,0,False,False,False,True,False,False,False
79941.0,72,1,1,984,15,0,0,False,True,False,False,True,False,False
7500.0,24,3,597,122,7,0,0,False,False,False,True,False,False,False
41728.0,92,1,401,55,4,1,0,False,True,False,False,False,True,False
51381.5,96,3,179,124,7,3,0,False,True,False,False,True,False,False
72550.0,39,9,598,1319,19,2,0,False,False,True,True,False,False,False
65486.0,29,1,48,507,16,1,0,False,True,False,False,False,False,True
79143.0,2,1,687,1693,28,0,0,False,False,False,True,False,False,False
35790.0,54,2,543,72,5,1,0,False,True,False,False,True,False,False
82582.0,54,1,22,1617,20,0,2,False,True,False,False,False,False,False
66373.0,57,7,382,606,16,2,0,False,True,False,True,False,False,False
82384.0,55,1,587,1957,26,0,1,False,False,False,False,False,True,False
70287.0,30,1,453,1093,20,0,0,False,True,False,False,False,False,False
27938.0,31,1,62,29,5,1,0,False,True,False,False,True,False,False
51381.5,57,2,377,46,5,1,0,False,True,False,False,True,False,False
55954.0,63,3,118,518,16,1,0,False,False,True,True,False,False,False
75777.0,12,1,360,1438,20,0,2,False,False,False,False,True,False,False
66653.0,18,4,660,612,18,2,0,False,True,False,False,False,True,False
61823.0,26,4,496,884,20,1,0,False,True,False,False,True,False,False
67680.0,8,1,383,606,18,1,0,False,False,True,False,False,False,True
70666.0,29,1,205,1076,15,0,0,False,True,False,False,False,True,False
25721.0,75,1,404,34,4,1,0,False,True,False,True,False,False,False
32474.0,0,1,49,11,3,2,0,False,True,False,False,False,True,False
88194.0,19,1,102,1274,31,1,2,False,False,False,False,True,False,False
69096.0,4,1,275,653,17,1,0,False,True,False,False,False,True,False
74854.0,90,7,447,1562,12,3,0,False,True,False,False,False,True,False
66991.0,1,3,656,1253,18,0,0,False,False,False,True,False,False,False
51381.5,25,3,653,109,6,1,0,False,False,False,True,False,False,False
65031.0,29,4,469,863,26,1,0,False,True,False,True,False,False,False
60631.0,88,5,450,661,19,2,1,False,False,True,True,False,False,False
28332.0,58,1,60,65,7,0,0,False,True,False,True,False,False,False
40246.0,68,1,557,13,3,1,0,False,True,False,False,False,False,False
75251.0,34,1,671,1890,18,0,0,False,False,False,True,False,False,False
75825.0,40,0,625,2209,22,0,1,False,True,False,False,True,False,False
26326.0,12,1,298,18,3,0,0,False,False,False,False,False,True,False
56046.0,9,2,543,692,19,0,1,False,True,False,False,False,True,False
29760.0,87,4,669,165,8,1,0,False,True,False,False,True,False,False
26304.0,5,1,371,16,3,1,0,False,True,False,True,False,False,False
23559.0,87,3,361,79,6,1,0,False,False,False,True,False,False,False
38620.0,56,1,414,318,10,0,0,False,False,False,False,False,True,False
81361.0,18,1,124,778,26,0,0,False,True,False,False,False,False,False
29440.0,95,2,322,56,5,2,0,False,True,False,True,False,False,False
36138.0,48,5,348,151,8,2,1,False,False,False,True,False,False,False
50388.0,3,4,32,372,13,1,2,False,True,False,False,True,False,False
79593.0,70,1,48,1366,18,0,1,False,True,False,True,False,False,False
54178.0,79,1,159,194,9,1,0,False,True,False,False,False,True,False
51381.5,4,12,587,603,17,3,0,False,False,True,True,False,False,False
51381.5,45,1,33,18,3,2,0,False,True,False,False,True,False,False
51381.5,87,1,218,985,14,0,0,False,False,False,False,False,True,False
42394.0,69,1,98,32,4,1,0,False,False,False,False,True,False,False
23626.0,84,3,36,43,7,1,0,False,False,True,True,False,False,False
30096.0,30,1,38,45,5,1,0,False,True,False,True,False,False,False
47916.0,72,5,584,606,17,1,1,False,True,False,False,False,False,True
51813.0,37,2,444,63,5,2,0,False,True,False,False,False,False,False
78497.0,44,1,210,978,24,0,1,False,False,False,True,False,False,False
50150.0,32,2,374,410,14,0,0,False,False,True,True,False,False,False
47823.0,0,2,341,72,5,1,0,False,False,False,False,True,False,False
34554.0,43,2,91,55,5,1,0,False,False,True,False,True,False,False
85693.0,59,2,435,1169,25,1,0,False,True,False,False,False,True,False
65846.0,68,1,408,1120,15,0,0,False,False,True,True,False,False,False
87195.0,35,1,52,1097,19,0,0,False,True,False,True,False,False,False
24594.0,94,1,201,29,4,1,0,True,False,False,False,False,True,False
49096.0,15,4,278,187,9,2,0,False,True,False,True,False,False,False
52413.0,56,4,512,910,22,2,0,False,True,False,True,False,False,False
38557.0,17,2,557,145,7,1,0,False,True,False,False,True,False,False
89058.0,18,1,569,850,13,0,0,False,False,False,True,False,False,False
77298.0,46,1,239,969,23,1,0,False,True,False,False,False,True,False
68126.0,40,1,596,1820,16,0,1,False,False,True,False,True,False,False
57288.0,27,3,4,608,17,1,1,False,False,False,False,False,True,False
86037.0,95,1,543,730,24,0,2,False,True,False,False,True,False,False
43974.0,19,5,564,551,16,1,0,False,False,True,True,False,False,False
50785.0,27,2,292,114,6,2,0,False,True,False,False,True,False,False
90765.0,25,0,156,1724,15,0,2,False,True,False,True,False,False,False
36550.0,74,5,495,577,15,1,0,False,False,False,True,False,False,False
30753.0,85,2,353,81,5,2,0,False,False,False,False,False,True,False
21918.0,37,2,227,33,5,1,0,False,True,False,False,False,True,False
56129.0,65,4,374,660,18,1,0,False,False,False,False,False,True,False
32557.0,13,3,125,80,6,1,0,False,False,False,False,True,False,False
19510.0,63,2,298,30,4,2,0,False,False,False,True,False,False,False
30992.0,83,1,433,43,4,1,0,False,True,False,False,False,False,False
101970.0,69,0,474,1135,27,0,3,False,True,False,False,True,False,False
71488.0,87,2,496,559,14,0,0,False,False,False,False,False,True,False
79607.0,37,1,434,1923,15,0,0,False,True,False,False,True,False,False
54348.0,51,2,21,90,6,2,0,False,False,False,True,False,False,False
51381.5,23,3,353,404,14,1,0,False,False,True,True,False,False,False
77376.0,72,4,50,661,19,2,0,False,False,True,False,False,True,False
62998.0,10,5,272,463,14,1,0,False,True,False,True,False,False,False
61331.0,42,5,476,632,18,2,0,False,False,False,False,True,False,False
73448.0,10,1,139,725,18,0,0,False,True,False,True,False,False,False
51381.5,96,1,322,725,18,1,0,False,True,False,True,False,False,False
41551.0,51,5,319,279,11,2,0,False,False,True,True,False,False,False
62981.0,21,1,469,1482,22,0,1,False,False,True,False,False,True,False
9548.0,31,2,690,29,4,1,0,True,False,False,False,False,False,False
33762.0,61,3,357,106,6,3,0,False,False,True,True,False,False,False
35860.0,37,2,41,49,4,2,1,False,False,True,False,True,False,False
36921.0,74,2,336,38,5,2,0,False,False,True,False,False,False,False
92859.0,46,1,618,2077,21,0,0,False,False,False,False,True,False,False
65104.0,4,2,227,1053,15,1,0,False,False,False,False,False,True,False
86111.0,73,1,436,1385,22,0,0,False,True,False,True,False,False,False
68352.0,47,3,305,871,22,1,0,False,False,True,False,True,False,False
41883.0,13,3,467,312,9,1,0,False,True,False,False,False,True,False
59809.0,36,3,619,877,12,2,0,False,True,False,True,False,False,False
23957.0,47,1,609,68,5,1,0,False,True,False,True,False,False,False
38547.0,49,1,305,22,3,1,0,False,True,False,False,False,True,False
35688.0,94,7,676,211,9,3,0,False,False,False,True,False,False,False
49605.0,65,1,8,127,7,0,0,False,False,False,True,False,False,False
59354.0,59,1,66,459,15,2,0,False,False,False,True,False,False,False
65747.0,96,4,114,460,15,1,1,False,True,False,True,False,False,False
46344.0,28,4,562,429,13,1,0,False,False,False,False,False,True,False
34176.0,12,4,48,89,7,1,0,False,True,False,False,True,False,False
61010.0,57,2,628,1021,24,1,0,False,False,True,False,False,True,False
69372.0,10,1,495,1381,20,0,2,False,True,False,False,False,True,False
49967.0,4,3,356,306,12,1,0,False,True,False,False,True,False,False
60199.0,49,1,290,18,3,3,0,False,True,False,False,True,False,False
55375.0,3,1,255,162,8,1,0,False,True,False,False,False,True,False
80317.0,64,1,313,1231,17,0,0,False,True,False,False,True,False,False
30523.0,0,1,363,13,3,3,0,False,False,False,False,True,False,False
70356.0,20,2,601,1706,25,0,0,False,False,True,True,False,False,False
23228.0,91,4,175,121,7,1,0,False,True,False,True,False,False,False
74165.0,9,1,424,1293,19,0,0,False,False,True,False,False,False,False
157243.0,98,15,120,1608,22,1,0,False,False,True,True,False,False,False
43482.0,83,3,228,88,6,3,0,False,True,False,False,False,True,False
62551.0,27,1,223,421,17,0,1,False,True,False,False,False,False,False
52332.0,63,1,305,259,11,0,1,False,True,False,False,False,False,False
66951.0,46,1,239,1117,14,0,0,False,True,False,False,True,False,False
26091.0,84,3,124,89,6,2,0,False,True,False,False,False,True,False
33456.0,58,2,69,36,4,2,0,False,True,False,False,False,True,False
28718.0,78,2,351,57,5,1,0,False,True,False,True,False,False,False
50447.0,4,1,69,148,7,2,0,False,True,False,True,False,False,False
53537.0,17,2,150,93,6,2,0,False,False,True,False,False,True,False
52074.0,77,1,86,119,6,1,1,False,True,False,False,True,False,False
80427.0,56,1,655,1835,27,1,0,False,False,True,True,False,False,False
83837.0,79,1,560,1318,24,0,2,False,False,True,True,False,False,False
38853.0,90,2,37,45,5,2,0,False,False,True,True,False,False,False
38285.0,96,1,5,10,3,3,0,False,True,False,False,False,True,False
78497.0,44,1,210,978,24,0,1,False,False,False,True,False,False,False
51650.0,81,1,49,191,9,1,0,False,False,True,True,False,False,False
16248.0,77,3,50,57,6,1,0,False,False,False,True,False,False,False
66835.0,21,1,274,1033,23,0,0,False,False,False,True,False,False,False
30477.0,16,1,158,66,5,1,0,False,False,False,True,False,False,False
28249.0,80,1,14,43,5,0,0,True,False,False,True,False,False,False
25271.0,45,1,571,50,4,1,0,False,True,False,True,False,False,False
32303.0,63,2,113,39,5,1,0,False,False,True,False,True,False,False
61286.0,34,2,331,608,16,1,0,False,True,False,True,False,False,False
74068.0,14,1,467,1581,23,0,0,False,True,False,True,False,False,False
45759.0,13,2,491,68,5,2,0,False,False,True,True,False,False,False
24882.0,52,1,658,80,4,1,1,True,False,False,False,False,True,False
66973.0,98,1,408,1282,27,0,0,False,False,True,False,False,True,False
38872.0,93,2,395,91,6,1,0,False,True,False,True,False,False,False
51148.0,38,4,496,315,12,2,0,False,True,False,True,False,False,False
31353.0,24,2,182,31,4,2,0,False,True,False,True,False,False,False
69661.0,80,1,47,834,22,0,0,False,False,False,True,False,False,False
80067.0,82,1,283,1600,16,0,1,False,True,False,True,False,False,False
86718.0,20,1,528,1270,16,0,0,False,True,False,True,False,False,False
46854.0,81,6,90,263,9,2,1,False,False,True,False,True,False,False
69142.0,50,3,0,535,16,1,1,False,True,False,False,False,False,False
75922.0,60,1,202,1295,17,0,0,False,True,False,False,True,False,False
63693.0,63,3,258,1150,26,1,0,False,True,False,False,False,False,False
102160.0,54,0,604,1240,26,0,3,False,False,True,False,False,True,False
40637.0,72,2,347,38,4,2,0,False,False,True,False,True,False,False
18890.0,5,1,596,35,3,0,1,False,False,False,False,True,False,False
29604.0,88,1,203,53,4,1,1,False,True,False,False,False,True,False
48721.0,50,6,412,293,11,2,0,False,False,False,False,False,False,False
44794.0,99,1,21,65,5,1,0,False,True,False,True,False,False,False
64497.0,17,5,657,1804,24,1,1,False,True,False,False,False,False,False
46097.0,11,5,455,241,10,1,0,False,True,False,False,False,True,False
77972.0,18,1,103,1101,19,0,0,False,True,False,False,False,True,False
44377.0,70,8,632,264,11,2,0,False,False,True,True,False,False,False
46014.0,21,10,524,541,16,2,0,False,False,False,False,False,True,False
70951.0,66,1,421,1198,16,0,0,False,True,False,True,False,False,False
41443.0,79,6,89,482,14,1,0,False,True,False,True,False,False,False
52195.0,2,1,48,17,3,3,0,False,False,False,False,True,False,False
83790.0,81,1,226,1615,24,0,2,False,False,False,True,False,False,False
44551.0,24,2,302,285,10,1,0,False,False,False,False,False,False,True
69508.0,48,2,592,1135,26,1,0,False,True,False,False,False,True,False
45204.0,93,1,79,114,6,1,0,False,False,False,False,False,True,False
72460.0,56,1,227,1047,15,0,0,False,True,False,True,False,False,False
77622.0,3,2,76,714,20,2,0,False,False,True,False,False,True,False
30732.0,44,4,540,185,9,1,0,False,False,True,True,False,False,False
63887.0,38,5,659,1245,27,1,0,False,True,False,False,False,False,False
42011.0,46,4,460,189,8,1,0,False,True,False,False,False,True,False
51369.0,84,2,612,576,14,1,0,False,True,False,False,False,True,False
51537.0,27,3,567,1103,15,1,0,False,True,False,False,False,False,False
79930.0,72,1,690,1753,16,0,0,False,False,True,True,False,False,False
34320.0,66,1,133,17,3,1,0,False,False,True,False,False,True,False
37070.0,30,9,466,433,14,2,0,False,True,False,False,True,False,False
81975.0,2,1,540,1588,13,1,1,False,False,False,False,False,False,False
38590.0,65,1,410,22,3,1,0,False,True,False,False,False,True,False
15033.0,37,1,74,19,4,0,0,False,True,False,False,True,False,False
62745.0,89,3,463,1117,26,1,0,False,False,True,True,False,False,False
22212.0,49,2,202,69,6,1,0,False,False,False,True,False,False,False
23661.0,46,1,207,23,4,1,0,False,False,False,False,False,True,False
79761.0,32,1,268,605,18,1,0,False,False,True,False,True,False,False
7500.0,54,4,185,57,7,1,0,False,True,False,False,True,False,False
73455.0,98,1,244,2088,21,0,1,False,True,False,False,False,False,True
64961.0,97,2,553,1009,14,1,0,False,True,False,False,False,True,False
22804.0,75,1,333,26,4,1,0,False,True,False,False,True,False,False
73687.0,8,1,213,1627,21,0,1,False,True,False,True,False,False,False
61074.0,37,7,681,1102,24,1,0,False,True,False,True,False,False,False
31686.0,31,2,24,17,4,2,0,False,False,True,True,False,False,False
80134.0,40,2,405,1690,14,1,3,False,True,False,True,False,False,False
75027.0,74,2,536,1390,19,1,0,False,True,False,True,False,False,False
67546.0,90,1,667,2126,19,0,0,False,False,True,True,False,False,False
65176.0,57,4,608,1531,21,1,0,False,False,False,False,False,True,False
31160.0,59,2,286,64,5,1,0,False,False,False,False,True,False,False
29938.0,52,2,245,26,4,1,0,False,True,False,False,True,False,False
102692.0,5,1,450,1112,28,0,4,False,True,False,False,False,False,False
26490.0,92,2,645,210,9,0,0,False,False,False,False,False,True,False
75702.0,77,5,669,1148,21,2,0,False,True,False,False,False,True,False
30899.0,35,2,624,33,4,1,0,False,False,True,False,True,False,False
63342.0,48,3,621,1101,16,1,1,False,False,True,False,False,True,False
45989.0,97,4,615,322,12,1,0,False,True,False,False,True,False,False
18701.0,95,4,390,44,6,2,0,False,True,False,False,True,False,False
40737.0,24,1,203,17,3,3,0,False,False,True,False,True,False,False
15287.0,60,2,627,31,4,1,1,False,True,False,False,False,False,False
69674.0,46,3,403,845,22,2,0,False,False,True,False,False,False,False
44159.0,85,4,12,275,11,1,0,False,False,False,True,False,False,False
37717.0,31,1,583,25,3,1,0,False,False,True,True,False,False,False
43776.0,9,6,511,275,11,2,0,False,False,False,False,False,True,False
38179.0,30,4,472,90,7,2,0,False,False,False,True,False,False,False
80124.0,47,1,3,1495,18,0,1,False,True,False,True,False,False,False
38097.0,70,4,622,184,7,2,1,False,False,True,True,False,False,False
72940.0,13,1,375,981,12,0,0,False,True,False,True,False,False,False
22070.0,11,2,268,67,6,1,0,False,True,False,False,False,True,False
69267.0,31,2,645,1635,12,0,0,False,True,False,False,True,False,False
31788.0,15,3,101,60,7,1,0,False,False,False,False,True,False,False
61905.0,2,2,145,231,10,1,0,False,False,True,False,False,True,False
29315.0,55,4,84,48,6,2,0,False,True,False,True,False,False,False
33378.0,38,3,508,99,6,2,0,False,True,False,False,False,False,False
66313.0,86,2,286,770,21,1,0,False,False,True,False,False,True,False
60714.0,56,2,528,957,21,0,0,False,True,False,False,True,False,False
77882.0,29,1,60,818,11,0,0,False,False,False,False,False,True,False
69867.0,30,1,453,925,16,0,1,False,False,True,False,True,False,False
63841.0,64,1,434,908,21,1,0,False,False,False,False,False,False,False
24480.0,46,3,503,102,7,1,0,True,False,False,True,False,False,False
51369.0,84,2,612,576,14,1,0,False,True,False,False,False,True,False
37760.0,20,2,667,317,11,0,0,False,True,False,False,False,True,False
